id;address;city;province;zip_code;country
1;Directives Concrete;Janahaven;calculating Pants neural;01105-1937;Micronesia
2;quantifying;Perris;boliviano Pants;91249;Somalia
3;Louisiana Tasty;Camden;Arkansas Rubber Qatar;15300-7524;Singapore
4;drive Personal Cross-group;Faheyside;Cambridgeshire best-of-breed strategize;34858;Libyan Arab Jamahiriya
5;system mobile;Krajcikton;Wooden;01400-1801;Ecuador
6;Vermont;Union City;calculating Tasty Producer;11373-4254;United States Minor Outlying Islands
7;real-time calculating;Lakeville;Branding Chair Intranet;27854-6506;Congo
8;grey Account Cliff;Kalamazoo;deliverables Markets Electronics;24837-2293;Peru
9;Neck Wooden purple;Schadenberg;Fantastic Naira Rubber;33535-1646;Trinidad and Tobago
10;Handcrafted;Beaumont;open-source edge;42237-4724;Palestinian Territory
